time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.48441e-06	775.09
1	1.48441e-06	3.32049e-06	775.09
2	3.32049e-06	5.59153e-06	1635.81
3	5.59153e-06	8.40058e-06	2451.77
4	8.40058e-06	1.18751e-05	4642.44
5	1.18751e-05	1.61728e-05	8623.49
6	1.61728e-05	2.14885e-05	12079.2
7	2.14885e-05	2.80636e-05	12514.5
8	2.80636e-05	3.61963e-05	10579.8
9	3.61963e-05	4.62557e-05	7709.44
10	4.62557e-05	5.86982e-05	4888.45
11	5.86982e-05	7.40883e-05	2910.59
12	7.40883e-05	9.31243e-05	1897.32
13	9.31243e-05	0.00011667	1475.51
14	0.00011667	0.000145794	1322.69
15	0.000145794	0.000181817	1307.73
16	0.000181817	0.000226374	1439.18
17	0.000226374	0.000281487	1699.72
18	0.000281487	0.000349656	2015.34
19	0.000349656	0.000433974	2307.2
20	0.000433974	0.000538268	2514.32
21	0.000538268	0.000667269	2607.16
22	0.000667269	0.00082683	2582.47
23	0.00082683	0.00102419	2422.88
24	0.00102419	0.00126831	2059.08
25	0.00126831	0.00157026	1537.13
26	0.00157026	0.00194374	1141.51
27	0.00194374	0.0024057	1069.68
28	0.0024057	0.0029771	1069.68
29	0.0029771	0.00368386	1509.75
30	0.00368386	0.00455806	1509.75
31	0.00455806	inf	1509.75
