time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.9655e-06	2308.93
1	1.9655e-06	4.39664e-06	2308.93
2	4.39664e-06	7.40371e-06	3523.56
3	7.40371e-06	1.11232e-05	2927
4	1.11232e-05	1.57238e-05	2395.09
5	1.57238e-05	2.14142e-05	2525.91
6	2.14142e-05	2.84528e-05	2945.84
7	2.84528e-05	3.71588e-05	3298.08
8	3.71588e-05	4.79273e-05	2930.44
9	4.79273e-05	6.12469e-05	2158.63
10	6.12469e-05	7.77219e-05	1588.99
11	7.77219e-05	9.80998e-05	1313.88
12	9.80998e-05	0.000123305	1196.05
13	0.000123305	0.000154482	1173.84
14	0.000154482	0.000193045	1269.11
15	0.000193045	0.000240743	1499.4
16	0.000240743	0.000299741	1828.59
17	0.000299741	0.000372715	2164.01
18	0.000372715	0.000462977	2417.3
19	0.000462977	0.000574623	2560.13
20	0.000574623	0.000712718	2608.54
21	0.000712718	0.000883527	2561.01
22	0.000883527	0.0010948	2344.49
23	0.0010948	0.00135613	1895.29
24	0.00135613	0.00167936	1390.03
25	0.00167936	0.00207917	1103.47
26	0.00207917	0.00257369	1068.54
27	0.00257369	0.00318537	1271.61
28	0.00318537	0.00394196	1271.61
29	0.00394196	0.00487778	1053.63
30	0.00487778	0.0060353	1053.63
31	0.0060353	inf	1053.63
