time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	8.74366e-07	2308.93	2.93734	775.09
1	8.74366e-07	1.98951e-06	2308.93	2.93734	775.09
2	1.98951e-06	3.41173e-06	2308.93	1.96859	775.09
3	3.41173e-06	5.2256e-06	2794.7819999999992	2.49975	1635.8099999999997
4	5.2256e-06	7.53895e-06	3523.5599999999995	11.7645	2288.5779999999995
5	7.53895e-06	1.04893e-05	2926.9999999999995	26.0323	3985.2390000000005
6	1.04893e-05	1.42522e-05	2501.472	113.292	7031.070000000001
7	1.42522e-05	1.90512e-05	2473.5819999999994	494.862	10351.345
8	1.90512e-05	2.51718e-05	2777.8679999999995	1724.87	12340.380000000003
9	2.51718e-05	3.29778e-05	3121.96	3501.27	11353.679999999998
10	3.29778e-05	4.29333e-05	3114.2599999999993	3922.44	8857.583999999997
11	4.29333e-05	5.56304e-05	2467.354	2981.32	5734.747
12	5.56304e-05	7.18239e-05	1816.8459999999995	1995.1	3306.1620000000007
13	7.18239e-05	9.24766e-05	1396.413	1489.07	2099.974
14	9.24766e-05	0.000118817	1231.3990000000001	1265.59	1517.6909999999996
15	0.000118817	0.00015241	1178.282	1185.49	1321.194
16	0.00015241	0.000195254	1259.5829999999999	1258.75	1347.1650000000004
17	0.000195254	0.000249896	1532.3190000000002	1498.93	1543.396
18	0.000249896	0.000319585	1895.6739999999998	1860.9	1857.5300000000002
19	0.000319585	0.000408464	2265.326	2228.05	2190.456
20	0.000408464	0.000521818	2488.7149999999997	2487.35	2452.184
21	0.000521818	0.000666387	2589.176	2596.83	2588.5919999999996
22	0.000666387	0.000850767	2575.2690000000007	2564.33	2568.979999999999
23	0.000850767	0.00108592	2387.7940000000003	2370.74	2350.12
24	0.00108592	0.00138583	1940.21	1905.35	1902.4949999999997
25	0.00138583	0.00176832	1332.7179999999996	1353.79	1339.3200000000002
26	0.00176832	0.00225614	1092.991	1066.44	1098.4119999999998
27	0.00225614	0.0028783	1149.7679999999998	1118.59	1069.6799999999998
28	0.0028783	0.00367178	1271.61	1118.59	1421.7359999999999
29	0.00367178	0.00468376	1119.0240000000001	1698.7	1509.7499999999998
30	0.00468376	0.00597442	1053.6300000000003	1698.7	1509.7499999999998
31	0.00597442	inf	1053.63	1698.7	1509.75
