time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.74366e-07	2.93734
1	8.74366e-07	1.98951e-06	2.93734
2	1.98951e-06	3.41173e-06	1.96859
3	3.41173e-06	5.2256e-06	2.49975
4	5.2256e-06	7.53895e-06	11.7645
5	7.53895e-06	1.04893e-05	26.0323
6	1.04893e-05	1.42522e-05	113.292
7	1.42522e-05	1.90512e-05	494.862
8	1.90512e-05	2.51718e-05	1724.87
9	2.51718e-05	3.29778e-05	3501.27
10	3.29778e-05	4.29333e-05	3922.44
11	4.29333e-05	5.56304e-05	2981.32
12	5.56304e-05	7.18239e-05	1995.1
13	7.18239e-05	9.24766e-05	1489.07
14	9.24766e-05	0.000118817	1265.59
15	0.000118817	0.00015241	1185.49
16	0.00015241	0.000195254	1258.75
17	0.000195254	0.000249896	1498.93
18	0.000249896	0.000319585	1860.9
19	0.000319585	0.000408464	2228.05
20	0.000408464	0.000521818	2487.35
21	0.000521818	0.000666387	2596.83
22	0.000666387	0.000850767	2564.33
23	0.000850767	0.00108592	2370.74
24	0.00108592	0.00138583	1905.35
25	0.00138583	0.00176832	1353.79
26	0.00176832	0.00225614	1066.44
27	0.00225614	0.0028783	1118.59
28	0.0028783	0.00367178	1118.59
29	0.00367178	0.00468376	1698.7
30	0.00468376	0.00597442	1698.7
31	0.00597442	inf	1698.7
